scene,scene_title,method,generation,metric_l2
small_sample_structural_bias,小样本结构偏置,Set-Aware,2,2.02036867
small_sample_structural_bias,小样本结构偏置,Our method,2,1.90491351
small_sample_structural_bias,小样本结构偏置,No Filter,3,1.42142791
small_sample_structural_bias,小样本结构偏置,Weight-only,3,1.34207323
small_sample_structural_bias,小样本结构偏置,Set-Aware,3,1.78206820
small_sample_structural_bias,小样本结构偏置,Our method,3,1.61855549
small_sample_structural_bias,小样本结构偏置,No Filter,4,1.14824166
small_sample_structural_bias,小样本结构偏置,Weight-only,4,1.08184517
small_sample_structural_bias,小样本结构偏置,Set-Aware,4,1.59856274
small_sample_structural_bias,小样本结构偏置,Our method,4,1.37965527
small_sample_structural_bias,小样本结构偏置,No Filter,5,0.93655726
small_sample_structural_bias,小样本结构偏置,Weight-only,5,0.90776028
small_sample_structural_bias,小样本结构偏置,Set-Aware,5,1.46415056
small_sample_structural_bias,小样本结构偏置,Our method,5,1.18600367
small_sample_structural_bias,小样本结构偏置,No Filter,6,0.77984471
small_sample_structural_bias,小样本结构偏置,Weight-only,6,0.79742403
small_sample_structural_bias,小样本结构偏置,Set-Aware,6,1.35444223
small_sample_structural_bias,小样本结构偏置,Our method,6,1.03239188
small_sample_structural_bias,小样本结构偏置,No Filter,7,0.66925325
small_sample_structural_bias,小样本结构偏置,Weight-only,7,0.72686097
small_sample_structural_bias,小样本结构偏置,Set-Aware,7,1.25281916
small_sample_structural_bias,小样本结构偏置,Our method,7,0.90866269
small_sample_structural_bias,小样本结构偏置,No Filter,8,0.59417007
small_sample_structural_bias,小样本结构偏置,Weight-only,8,0.65458670
small_sample_structural_bias,小样本结构偏置,Set-Aware,8,1.13188037
small_sample_structural_bias,小样本结构偏置,Our method,8,0.80318622
small_sample_structural_bias,小样本结构偏置,No Filter,9,0.54372521
small_sample_structural_bias,小样本结构偏置,Weight-only,9,0.58382019
small_sample_structural_bias,小样本结构偏置,Set-Aware,9,1.00509312
small_sample_structural_bias,小样本结构偏置,Our method,9,0.71063324
small_sample_structural_bias,小样本结构偏置,No Filter,10,0.50862399
small_sample_structural_bias,小样本结构偏置,Weight-only,10,0.53588505
small_sample_structural_bias,小样本结构偏置,Set-Aware,10,0.90162309
small_sample_structural_bias,小样本结构偏置,Our method,10,0.62952154
small_sample_structural_bias,小样本结构偏置,No Filter,11,0.48221490
small_sample_structural_bias,小样本结构偏置,Weight-only,11,0.51565138
small_sample_structural_bias,小样本结构偏置,Set-Aware,11,0.82443338
small_sample_structural_bias,小样本结构偏置,Our method,11,0.55969432
small_sample_structural_bias,小样本结构偏置,No Filter,12,0.46046845
small_sample_structural_bias,小样本结构偏置,Weight-only,12,0.51317796
small_sample_structural_bias,小样本结构偏置,Set-Aware,12,0.76632939
small_sample_structural_bias,小样本结构偏置,Our method,12,0.50039441
small_sample_structural_bias,小样本结构偏置,No Filter,13,0.44133380
small_sample_structural_bias,小样本结构偏置,Weight-only,13,0.53174234
small_sample_structural_bias,小样本结构偏置,Set-Aware,13,0.73552127
small_sample_structural_bias,小样本结构偏置,Our method,13,0.44986764
small_sample_structural_bias,小样本结构偏置,No Filter,14,0.42400016
small_sample_structural_bias,小样本结构偏置,Weight-only,14,0.55132405
small_sample_structural_bias,小样本结构偏置,Set-Aware,14,0.71351680
small_sample_structural_bias,小样本结构偏置,Our method,14,0.40600829
small_sample_structural_bias,小样本结构偏置,No Filter,15,0.40831268
small_sample_structural_bias,小样本结构偏置,Weight-only,15,0.56288979
small_sample_structural_bias,小样本结构偏置,Set-Aware,15,0.69387406
small_sample_structural_bias,小样本结构偏置,Our method,15,0.36569411
small_sample_structural_bias,小样本结构偏置,No Filter,16,0.39438476
small_sample_structural_bias,小样本结构偏置,Weight-only,16,0.60480139
small_sample_structural_bias,小样本结构偏置,Set-Aware,16,0.69512537
small_sample_structural_bias,小样本结构偏置,Our method,16,0.32793035
small_sample_structural_bias,小样本结构偏置,No Filter,17,0.38237125
small_sample_structural_bias,小样本结构偏置,Weight-only,17,0.64951536
small_sample_structural_bias,小样本结构偏置,Set-Aware,17,0.69406176
small_sample_structural_bias,小样本结构偏置,Our method,17,0.29330485
small_sample_structural_bias,小样本结构偏置,No Filter,18,0.37235482
small_sample_structural_bias,小样本结构偏置,Weight-only,18,0.67031180
small_sample_structural_bias,小样本结构偏置,Set-Aware,18,0.67186697
small_sample_structural_bias,小样本结构偏置,Our method,18,0.26326397
small_sample_structural_bias,小样本结构偏置,No Filter,19,0.36430680
small_sample_structural_bias,小样本结构偏置,Weight-only,19,0.67140729
small_sample_structural_bias,小样本结构偏置,Set-Aware,19,0.63366446
small_sample_structural_bias,小样本结构偏置,Our method,19,0.23903694
small_sample_structural_bias,小样本结构偏置,No Filter,20,0.35809270
small_sample_structural_bias,小样本结构偏置,Weight-only,20,0.66414260
small_sample_structural_bias,小样本结构偏置,Set-Aware,20,0.60105847
small_sample_structural_bias,小样本结构偏置,Our method,20,0.21991882
small_sample_structural_bias,小样本结构偏置,No Filter,21,0.35350066
small_sample_structural_bias,小样本结构偏置,Weight-only,21,0.65811107
small_sample_structural_bias,小样本结构偏置,Set-Aware,21,0.59610331
small_sample_structural_bias,小样本结构偏置,Our method,21,0.20459458
small_sample_structural_bias,小样本结构偏置,No Filter,22,0.35027689
small_sample_structural_bias,小样本结构偏置,Weight-only,22,0.64872516
small_sample_structural_bias,小样本结构偏置,Set-Aware,22,0.57144732
small_sample_structural_bias,小样本结构偏置,Our method,22,0.19175815
small_sample_structural_bias,小样本结构偏置,No Filter,23,0.34815794
small_sample_structural_bias,小样本结构偏置,Weight-only,23,0.65607309
small_sample_structural_bias,小样本结构偏置,Set-Aware,23,0.53849999
small_sample_structural_bias,小样本结构偏置,Our method,23,0.17983616
small_sample_structural_bias,小样本结构偏置,No Filter,24,0.34689478
small_sample_structural_bias,小样本结构偏置,Weight-only,24,0.67519173
