generation,no_filter_mean,no_filter_std,ours_mean,ours_std,path_signature_mean,path_signature_std
170,1.195751,0.019392,4.327454,1.191146,0.990530,0.011726
171,1.201501,0.016960,4.324226,1.167308,0.987074,0.014454
172,1.223727,0.013341,4.344514,1.120058,1.009514,0.014490
173,1.183814,0.022349,4.315085,1.187558,0.977006,0.013288
174,1.185111,0.019691,4.307353,1.153750,0.974709,0.015257
175,1.203771,0.031182,4.327746,1.134258,0.989947,0.021563
176,1.210116,0.017511,4.316517,1.167538,0.989402,0.020225
177,1.207400,0.024650,4.320042,1.127665,0.982644,0.018142
178,1.207706,0.028347,4.331727,1.171649,0.992897,0.017618
179,1.207797,0.022165,4.311567,1.182946,0.993127,0.014153
180,1.195119,0.016841,4.319325,1.185347,0.983048,0.023579
181,1.210321,0.022080,4.330337,1.193312,1.000880,0.018753
182,1.195455,0.012667,4.334953,1.168752,0.985726,0.014840
183,1.207794,0.020731,4.329255,1.155070,0.992584,0.012137
184,1.212667,0.021777,4.303773,1.184004,0.991423,0.012257
185,1.211412,0.010596,4.332089,1.149668,0.998995,0.012455
186,1.203242,0.012159,4.334614,1.160055,0.996472,0.009242
187,1.208750,0.025761,4.326400,1.168910,0.995445,0.015296
188,1.199449,0.025578,4.308122,1.181114,0.986401,0.021759
189,1.191074,0.015520,4.334924,1.161283,0.985668,0.010344
190,1.207225,0.018615,4.324447,1.165422,0.993110,0.010656
191,1.192896,0.020920,4.348575,1.148513,0.981054,0.019811
192,1.198924,0.020386,4.352352,1.095576,0.990229,0.013385
193,1.197854,0.014760,4.324633,1.140143,0.990790,0.016334
194,1.218794,0.024133,4.316807,1.169899,1.003625,0.017144
195,1.214631,0.015169,4.327332,1.160440,0.999338,0.011588
196,1.208149,0.030528,4.319552,1.179694,0.992567,0.022204
197,1.198441,0.031869,4.333297,1.183810,0.993126,0.021151
198,1.203351,0.017274,4.330438,1.176705,0.990601,0.012553
199,1.206130,0.028654,4.317054,1.182991,0.991293,0.020768
200,1.191183,0.015661,4.345879,1.154588,0.984146,0.011935
